Bohemian Rhapsody, Queen
Hotel California, Eagles
Stairway to Heaven, Led Zeppelin
Imagine, John Lennon
Smells Like Teen Spirit, Nirvana
Billie Jean, Michael Jackson
Like a Rolling Stone, Bob Dylan
Hey Jude, The Beatles
Sweet Child O Mine, Guns N Roses
Rolling in the Deep, Adele
Wonderwall, Oasis
Shape of You, Ed Sheeran
Purple Rain, Prince
Lose Yourself, Eminem
Back in Black, AC/DC
I Will Always Love You, Whitney Houston
Uptown Funk, Mark Ronson ft. Bruno Mars
Blinding Lights, The Weeknd
Born to Run, Bruce Springsteen
Rolling in the Deep, Adele
